nm, %R
1100.000000, 25.199840
1090.000000, 25.223008
1080.000000, 25.232582
1070.000000, 25.274397
1060.000000, 25.273501
1050.000000, 25.275150
1040.000000, 25.304009
1030.000000, 25.295903
1020.000000, 25.340654
1010.000000, 25.347774
1000.000000, 25.399510
990.000000, 25.356949
980.000000, 25.377173
970.000000, 25.347729
960.000000, 25.398891
950.000000, 25.430938
940.000000, 25.440973
930.000000, 25.335669
920.000000, 25.429394
910.000000, 25.398966
900.000000, 25.095349
890.000000, 25.238199
880.000000, 25.115332
870.000000, 25.217348
860.000000, 25.270045
850.000000, 25.323820
840.000000, 25.427911
830.000000, 25.456817
820.000000, 25.575088
810.000000, 25.636938
800.000000, 25.737818
790.000000, 25.828254
780.000000, 25.891755
770.000000, 26.000641
760.000000, 26.048187
750.000000, 26.187979
740.000000, 26.270244
730.000000, 26.363520
720.000000, 26.461024
710.000000, 26.548530
700.000000, 26.666566
690.000000, 26.800431
680.000000, 26.923158
670.000000, 27.046326
660.000000, 27.184073
650.000000, 27.335346
640.000000, 27.488192
630.000000, 27.641642
620.000000, 27.826353
610.000000, 28.018654
600.000000, 28.238808
590.000000, 28.404922
580.000000, 28.649394
570.000000, 28.907982
560.000000, 29.151290
550.000000, 29.400314
540.000000, 29.684642
530.000000, 29.984619
520.000000, 30.182410
510.000000, 30.130979
500.000000, 30.408808
490.000000, 30.881273
480.000000, 31.498042
470.000000, 31.985358
460.000000, 32.396845
450.000000, 33.149922
440.000000, 33.966257
430.000000, 34.840364
420.000000, 35.888511
410.000000, 37.133427
400.000000, 38.682908
390.000000, 40.719740
380.000000, 43.449391
370.000000, 46.097622
360.000000, 46.605918
350.000000, 45.539259
340.000000, 44.973735
330.000000, 45.205321
320.000000, 46.151561
310.000000, 47.151334
300.000000, 50.560385
290.000000, 55.090124
280.000000, 58.175982
270.000000, 58.773676
260.000000, 56.668722
250.000000, 53.987116
