nm, %R
2000.000000, 29.305342
1990.000000, 29.212525
1980.000000, 29.316878
1970.000000, 29.490095
1960.000000, 29.639910
1950.000000, 29.744479
1940.000000, 29.525414
1930.000000, 29.636983
1920.000000, 29.371855
1910.000000, 29.607040
1900.000000, 29.492774
1890.000000, 29.726092
1880.000000, 29.499430
1870.000000, 29.740267
1860.000000, 29.666522
1850.000000, 29.780151
1840.000000, 29.752108
1830.000000, 29.669019
1820.000000, 29.845775
1810.000000, 29.595292
1800.000000, 29.771521
1790.000000, 29.875941
1780.000000, 29.998690
1770.000000, 29.950300
1760.000000, 30.006332
1750.000000, 29.811651
1740.000000, 30.008173
1730.000000, 29.802644
1720.000000, 30.110474
1710.000000, 30.037542
1700.000000, 29.960454
1690.000000, 29.938167
1680.000000, 30.088299
1670.000000, 30.272160
1660.000000, 30.043126
1650.000000, 30.077421
1640.000000, 29.977408
1630.000000, 30.172065
1620.000000, 30.013738
1610.000000, 30.166619
1600.000000, 30.047075
1590.000000, 30.287765
1580.000000, 30.306603
1570.000000, 30.232866
1560.000000, 30.339013
1550.000000, 30.131091
1540.000000, 30.264708
1530.000000, 30.350939
1520.000000, 30.364923
1510.000000, 30.249082
1500.000000, 30.138118
1490.000000, 30.258015
1480.000000, 30.215849
1470.000000, 30.287243
1460.000000, 30.234122
1450.000000, 30.331457
1440.000000, 30.396429
1430.000000, 30.211020
1420.000000, 30.222880
1410.000000, 30.320870
1400.000000, 30.537514
1390.000000, 30.291895
1380.000000, 30.267864
1370.000000, 30.064137
1360.000000, 30.358770
1350.000000, 30.319060
1340.000000, 30.472618
1330.000000, 30.663423
1320.000000, 30.550199
1310.000000, 30.666720
1300.000000, 30.612662
1290.000000, 30.578265
1280.000000, 30.802574
1270.000000, 30.678565
1260.000000, 30.891358
1250.000000, 30.699591
1240.000000, 30.835101
1230.000000, 30.929131
1220.000000, 30.891535
1210.000000, 30.744434
1200.000000, 30.895611
1190.000000, 30.657406
1180.000000, 31.074095
1170.000000, 30.978396
1160.000000, 30.889878
1150.000000, 31.189805
1140.000000, 31.002270
1130.000000, 31.048616
1120.000000, 31.091522
1110.000000, 31.069836
1100.000000, 31.109709
1090.000000, 31.149744
1080.000000, 31.163188
1070.000000, 31.075190
1060.000000, 31.416110
1050.000000, 31.270082
1040.000000, 31.276325
1030.000000, 31.542868
1020.000000, 31.337117
1010.000000, 31.321676
1000.000000, 31.434915
990.000000, 31.618928
980.000000, 31.625136
970.000000, 31.665118
960.000000, 31.783993
950.000000, 31.706716
940.000000, 31.595941
930.000000, 31.930106
920.000000, 31.774823
910.000000, 31.712433
900.000000, 32.182770
890.000000, 31.987539
880.000000, 32.063233
870.000000, 32.152364
860.000000, 32.158983
850.000000, 32.364284
840.000000, 32.155499
830.000000, 32.193416
820.000000, 32.218831
810.000000, 32.298478
800.000000, 32.380708
790.000000, 32.457270
780.000000, 32.559113
770.000000, 32.596350
760.000000, 32.679369
750.000000, 32.774775
740.000000, 32.876246
730.000000, 33.006642
720.000000, 33.117058
710.000000, 33.202761
700.000000, 33.310093
690.000000, 33.434418
680.000000, 33.615797
670.000000, 33.753064
660.000000, 33.858331
650.000000, 34.000875
640.000000, 34.180565
630.000000, 34.345640
620.000000, 34.540132
610.000000, 34.751393
600.000000, 34.961461
590.000000, 35.143452
580.000000, 35.380143
570.000000, 35.662023
560.000000, 35.978470
550.000000, 36.251726
540.000000, 36.514662
530.000000, 36.932930
520.000000, 37.334418
510.000000, 37.772528
500.000000, 38.212154
490.000000, 38.630229
480.000000, 39.164914
470.000000, 39.865594
460.000000, 40.601192
450.000000, 41.369093
440.000000, 42.223526
430.000000, 43.310236
420.000000, 44.543183
410.000000, 46.015371
400.000000, 47.982580
390.000000, 50.440880
380.000000, 53.710363
370.000000, 56.647690
360.000000, 56.597456
350.000000, 55.286125
340.000000, 54.573030
330.000000, 54.898863
320.000000, 55.523311
310.000000, 57.073417
300.000000, 59.859973
290.000000, 64.801289
280.000000, 68.033932
270.000000, 68.507268
260.000000, 65.587269
250.000000, 61.659877
