nm, %R
2000.000000, 45.758932
1990.000000, 45.862929
1980.000000, 45.865038
1970.000000, 46.133967
1960.000000, 46.288301
1950.000000, 46.327486
1940.000000, 46.092840
1930.000000, 46.050727
1920.000000, 45.990648
1910.000000, 45.949703
1900.000000, 45.899236
1890.000000, 46.512775
1880.000000, 46.021975
1870.000000, 45.972678
1860.000000, 46.177118
1850.000000, 46.288156
1840.000000, 46.226862
1830.000000, 46.134815
1820.000000, 46.275168
1810.000000, 46.241587
1800.000000, 46.204590
1790.000000, 46.575788
1780.000000, 46.653576
1770.000000, 46.707755
1760.000000, 46.807988
1750.000000, 46.486396
1740.000000, 46.580832
1730.000000, 46.491906
1720.000000, 46.516468
1710.000000, 46.863735
1700.000000, 46.704718
1690.000000, 46.738579
1680.000000, 46.399289
1670.000000, 46.682017
1660.000000, 46.503377
1650.000000, 46.649783
1640.000000, 46.624564
1630.000000, 46.669177
1620.000000, 46.770185
1610.000000, 46.821139
1600.000000, 46.612547
1590.000000, 46.978330
1580.000000, 46.832581
1570.000000, 46.857476
1560.000000, 46.865699
1550.000000, 46.645486
1540.000000, 46.768437
1530.000000, 46.718837
1520.000000, 46.836262
1510.000000, 46.787051
1500.000000, 46.820377
1490.000000, 46.830508
1480.000000, 46.723057
1470.000000, 46.778172
1460.000000, 46.689697
1450.000000, 46.814651
1440.000000, 46.966579
1430.000000, 46.810286
1420.000000, 46.709229
1410.000000, 46.816862
1400.000000, 46.851948
1390.000000, 46.802196
1380.000000, 46.966836
1370.000000, 46.674889
1360.000000, 47.000065
1350.000000, 46.745450
1340.000000, 46.983219
1330.000000, 47.121675
1320.000000, 47.257025
1310.000000, 47.273034
1300.000000, 47.295073
1290.000000, 47.105870
1280.000000, 47.239418
1270.000000, 47.241549
1260.000000, 47.381937
1250.000000, 47.357878
1240.000000, 47.291849
1230.000000, 47.414148
1220.000000, 47.314125
1210.000000, 47.186573
1200.000000, 47.394882
1190.000000, 47.443091
1180.000000, 47.386048
1170.000000, 47.220374
1160.000000, 47.074420
1150.000000, 47.055573
1140.000000, 46.583852
1130.000000, 46.184051
1120.000000, 45.809348
1110.000000, 45.140998
1100.000000, 44.587823
1090.000000, 43.985123
1080.000000, 42.702518
1070.000000, 41.367374
1060.000000, 40.039994
1050.000000, 37.973034
1040.000000, 36.101011
1030.000000, 34.641852
1020.000000, 33.432930
1010.000000, 32.480159
1000.000000, 32.198025
990.000000, 31.828050
980.000000, 31.829880
970.000000, 31.650052
960.000000, 31.732411
950.000000, 31.795170
940.000000, 31.644785
930.000000, 31.990745
920.000000, 32.032021
910.000000, 31.922787
900.000000, 32.029715
890.000000, 32.136926
880.000000, 32.114474
870.000000, 32.380204
860.000000, 32.369472
850.000000, 32.536886
840.000000, 32.240725
830.000000, 32.372453
820.000000, 32.362628
810.000000, 32.435338
800.000000, 32.492293
790.000000, 32.601021
780.000000, 32.681483
770.000000, 32.775718
760.000000, 32.851363
750.000000, 32.916622
740.000000, 33.051544
730.000000, 33.184574
720.000000, 33.283406
710.000000, 33.363392
700.000000, 33.511250
690.000000, 33.611784
680.000000, 33.770764
670.000000, 33.916173
660.000000, 34.016520
650.000000, 34.213589
640.000000, 34.394338
630.000000, 34.567748
620.000000, 34.761727
610.000000, 34.938307
600.000000, 35.164665
590.000000, 35.386339
580.000000, 35.632194
570.000000, 35.900261
560.000000, 36.214647
550.000000, 36.489729
540.000000, 36.777194
530.000000, 37.187728
520.000000, 37.599768
510.000000, 38.039887
500.000000, 38.490463
490.000000, 38.965067
480.000000, 39.508471
470.000000, 40.193520
460.000000, 40.906678
450.000000, 41.700861
440.000000, 42.601630
430.000000, 43.700343
420.000000, 44.941492
410.000000, 46.436986
400.000000, 48.421757
390.000000, 50.837062
380.000000, 54.149741
370.000000, 57.589054
360.000000, 57.759878
350.000000, 56.072882
340.000000, 55.435961
330.000000, 55.772944
320.000000, 56.438221
310.000000, 58.387403
300.000000, 60.812721
290.000000, 65.851604
280.000000, 69.437321
270.000000, 69.890511
260.000000, 67.070278
250.000000, 63.438898
